"","x"
"1",0.390000000000001
"2",0.506666666666666
"3",0.103333333333334
"4",0.826666666666666
"5",0.33
"6",-0.143333333333334
"7",-0.533333333333333
"8",-0.35
"9",-0.973333333333334
"10",-1.51333333333333
"11",0.41
"12",0.760000000000001
"13",-0.780000000000001
"14",-0.793333333333333
"15",0.333333333333333
"16",0.45
"17",0.643333333333334
"18",0.836666666666667
"19",0.903333333333333
"20",1.72
"21",-0.823333333333332
"22",0.116666666666666
"23",0.536666666666668
"24",0.0366666666666671
"25",-0.830000000000001
"26",-1.61
"27",-0.356666666666666
"28",0.936666666666667
"29",-0.703333333333333
"30",-0.71
"31",0.24
"32",-0.00666666666666682
"33",-0.476666666666667
"34",-0.043333333333333
"35",0.21
"36",0.656666666666667
"37",0.613333333333333
"38",0.283333333333333
"39",0.083333333333333
"40",0.836666666666667
"41",1.25666666666667
"42",0.813333333333333
"43",-0.00666666666666593
"44",0.296666666666667
"45",2.17
"46",1.51
"47",-3.73666666666667
"48",-0.463333333333333
"49",4.46
"50",0.776666666666666
"51",0.516666666666667
"52",0.146666666666667
"53",-3.30333333333333
"54",1.06333333333333
"55",-0.393333333333333
"56",-3.10333333333333
"57",-1.41
"58",0.199999999999998
"59",0.290000000000001
"60",0.743333333333334
"61",-0.34
"62",0.369999999999999
"63",0.626666666666667
"64",0.523333333333333
"65",-1.51666666666667
"66",-0.619999999999999
"67",-0.723333333333334
"68",-0.353333333333333
"69",0.0600000000000005
"70",-0.27
"71",-0.756666666666667
"72",-0.616666666666666
"73",-0.17
"74",0.183333333333333
"75",0.12
"76",0.386666666666668
"77",-0.180000000000001
"78",-0.14
"79",0.486666666666666
"80",0.8
"81",0.716666666666667
"82",0.813333333333333
"83",-0.129999999999999
"84",-0.566666666666666
"85",-0.19
"86",0.106666666666666
"87",-0.0133333333333328
"88",-0.27
"89",-0.486666666666666
"90",-0.966666666666667
"91",-0.463333333333333
"92",-0.183333333333334
"93",-0.836666666666667
"94",-0.646666666666667
"95",-0.213333333333333
"96",-0.596666666666667
"97",-0.0133333333333336
"98",-0.11
"99",0.00666666666666682
"100",0.0366666666666666
"101",0.0566666666666666
"102",0.183333333333333
"103",0.743333333333333
"104",0.49
"105",0.803333333333334
"106",0.456666666666666
"107",-0.14
"108",-0.23
"109",-0.106666666666667
"110",-0.33
"111",0.0899999999999999
"112",0.0766666666666671
"113",-0.12
"114",0.083333333333333
"115",-0.0133333333333328
"116",0
"117",0.043333333333333
"118",-0.0366666666666662
"119",-0.0766666666666671
"120",-0.153333333333333
"121",-0.57
"122",0.153333333333334
"123",0.046666666666666
"124",0.196666666666666
"125",0.393333333333334
"126",0.476666666666667
"127",0.193333333333333
"128",0.303333333333333
"129",0
"130",-1.2
"131",-1.15666666666667
"132",-0.49
"133",-1.26333333333333
"134",-0.186666666666667
"135",-0.0066666666666666
"136",-0.0700000000000001
"137",-0.31
"138",-0.176666666666667
"139",-0.116666666666666
"140",-0.11
"141",-0.0133333333333332
"142",-1.11022302462516e-16
"143",0.16
"144",0.41
"145",0.52
"146",0.53
"147",0.326666666666667
"148",0.496666666666667
"149",0.466666666666667
"150",0.566666666666667
"151",0.31
"152",0.203333333333333
"153",-0.00333333333333297
"154",0.0800000000000001
"155",-0.246666666666666
"156",-0.433333333333334
"157",-0.913333333333334
"158",-1.34666666666667
"159",-0.416666666666667
"160",-0.133333333333334
"161",-1.19666666666667
"162",-0.0833333333333334
"163",-0.04
"164",-0.0166666666666667
"165",-0.1
"166",0.05
"167",0.04
"168",0.01
"169",-0.02
"170",-0.01
"171",-0.08
"172",-0.0233333333333333
"173",-0.01
"174",0.0533333333333333
"175",0.02
"176",0.0166666666666667
"177",-0.0166666666666667
"178",0
"179",-0.0366666666666667
"180",-0.0166666666666667
"181",0.03
"182",-0.0166666666666667
"183",-0.0133333333333333
"184",-0.00666666666666667
"185",-0.00333333333333333
"186",0.00333333333333333
"187",-0.00666666666666666
"188",0.02
"189",0.0833333333333333
"190",0.163333333333333
"191",-0.03
"192",0.0399999999999999
"193",0.133333333333333
"194",0.16
"195",0.3
"196",0.146666666666667
"197",0.17
"198",0.353333333333333
"199",0.28
