"","x"
"1",34.3
"2",34.5
"3",35
"4",35.5
"5",35.7666666666667
"6",36.1
"7",36.6333333333333
"8",36.8333333333333
"9",37.0333333333333
"10",37.1
"11",37.6
"12",38.0666666666667
"13",38.3666666666667
"14",38.4
"15",39.0666666666667
"16",39.5
"17",40.1
"18",40.5
"19",42.4666666666667
"20",44.5333333333333
"21",46.3666666666667
"22",46.7333333333333
"23",49.8666666666667
"24",51.6
"25",55.2666666666667
"26",57.2
"27",57.1666666666667
"28",57.8
"29",59.0333333333333
"30",59.6666666666667
"31",59.9333333333333
"32",60.8666666666667
"33",61.6
"34",62.1333333333333
"35",63.4666666666667
"36",65.0333333333333
"37",65.1333333333333
"38",65.8666666666667
"39",67.4666666666667
"40",69.5
"41",70.6
"42",72.2
"43",74.8333333333333
"44",77.4666666666667
"45",79.9
"46",82.7
"47",86.5333333333333
"48",88.2666666666667
"49",91.1666666666667
"50",93.2666666666667
"51",96.1
"52",98.2666666666667
"53",98.9333333333333
"54",98.8333333333333
"55",99.7
"56",99.8
"57",100.233333333333
"58",100.333333333333
"59",100.366666666667
"60",100.733333333333
"61",101.7
"62",102.2
"63",103.333333333333
"64",104.033333333333
"65",103.8
"66",103.533333333333
"67",103.266666666667
"68",103.366666666667
"69",102.666666666667
"70",103.3
"71",101.733333333333
"72",99.8333333333333
"73",99.3666666666667
"74",99.7333333333333
"75",100.9
"76",102.5
"77",103.666666666667
"78",104.166666666667
"79",104.766666666667
"80",106.5
"81",108
"82",108.5
"83",110.933333333333
"84",112.8
"85",112.4
"86",112.833333333333
"87",114.5
"88",114.333333333333
"89",116.466666666667
"90",119.866666666667
"91",117.466666666667
"92",116.3
"93",116.133333333333
"94",116.233333333333
"95",115.9
"96",117.166666666667
"97",117.866666666667
"98",117.833333333333
"99",118.366666666667
"100",119.5
"101",118.866666666667
"102",118.9
"103",119.366666666667
"104",120.033333333333
"105",120.966666666667
"106",121.433333333333
"107",123.433333333333
"108",124.933333333333
"109",125.2
"110",125.466666666667
"111",126.3
"112",127.833333333333
"113",128.166666666667
"114",128.433333333333
"115",128.5
"116",127.2
"117",127.2
"118",127.5
"119",125.033333333333
"120",124.933333333333
"121",124.3
"122",123.466666666667
"123",122.6
"124",124.5
"125",126.866666666667
"126",127.933333333333
"127",129.633333333333
"128",132.033333333333
"129",133.766666666667
"130",135.533333333333
"131",137.766666666667
"132",136.233333333333
"133",133.366666666667
"134",129.4
"135",128.9
"136",130.833333333333
"137",131.666666666667
"138",133.066666666667
"139",138.033333333333
"140",137.166666666667
"141",138.066666666667
"142",139.233333333333
"143",142.2
"144",146.266666666667
"145",147.7
"146",150.533333333333
"147",152.066666666667
"148",154.533333333333
"149",158.7
"150",164.3
"151",162.766666666667
"152",165.4
"153",166.7
"154",164.133333333333
"155",166.7
"156",172.833333333333
"157",173.666666666667
"158",177.433333333333
"159",183.866666666667
"160",196
"161",200.466666666667
"162",178.033333333333
"163",169.533333333333
"164",171.333333333333
"165",173.866666666667
"166",176.9
"167",182.066666666667
"168",184.233333333333
"169",184.633333333333
"170",188
"171",195.9
"172",203.7
"173",203.833333333333
"174",200.766666666667
"175",202.166666666667
"176",201.8
"177",202.4
"178",202.266666666667
"179",203.6
"180",203.966666666667
"181",204.166666666667
"182",201.9
"183",205.5
"184",208.2
"185",207.133333333333
"186",200.433333333333
"187",191.533333333333
"188",193.033333333333
"189",191.633333333333
"190",185.566666666667
"191",182
"192",185.366666666667
"193",187.066666666667
"194",187.066666666667
"195",191.266666666667
"196",193.133333333333
"197",194.033333333333
"198",195.7
"199",198.833333333333
"200",202.466666666667
