"","x"
"1",5.19666666666667
"2",5.58666666666667
"3",6.09333333333333
"4",6.19666666666667
"5",7.02333333333333
"6",7.35333333333333
"7",7.21
"8",6.67666666666667
"9",6.32666666666667
"10",5.35333333333333
"11",3.84
"12",4.25
"13",5.01
"14",4.23
"15",3.43666666666667
"16",3.77
"17",4.22
"18",4.86333333333333
"19",5.7
"20",6.60333333333333
"21",8.32333333333333
"22",7.5
"23",7.61666666666667
"24",8.15333333333333
"25",8.19
"26",7.36
"27",5.75
"28",5.39333333333333
"29",6.33
"30",5.62666666666667
"31",4.91666666666667
"32",5.15666666666667
"33",5.15
"34",4.67333333333333
"35",4.63
"36",4.84
"37",5.49666666666667
"38",6.11
"39",6.39333333333333
"40",6.47666666666667
"41",7.31333333333333
"42",8.57
"43",9.38333333333333
"44",9.37666666666667
"45",9.67333333333333
"46",11.8433333333333
"47",13.3533333333333
"48",9.61666666666667
"49",9.15333333333333
"50",13.6133333333333
"51",14.39
"52",14.9066666666667
"53",15.0533333333333
"54",11.75
"55",12.8133333333333
"56",12.42
"57",9.31666666666667
"58",7.90666666666667
"59",8.10666666666667
"60",8.39666666666667
"61",9.14
"62",8.8
"63",9.17
"64",9.79666666666667
"65",10.32
"66",8.80333333333333
"67",8.18333333333333
"68",7.46
"69",7.10666666666667
"70",7.16666666666667
"71",6.89666666666667
"72",6.14
"73",5.52333333333333
"74",5.35333333333333
"75",5.53666666666667
"76",5.65666666666667
"77",6.04333333333333
"78",5.86333333333333
"79",5.72333333333333
"80",6.21
"81",7.01
"82",7.72666666666667
"83",8.54
"84",8.41
"85",7.84333333333333
"86",7.65333333333333
"87",7.76
"88",7.74666666666667
"89",7.47666666666667
"90",6.99
"91",6.02333333333333
"92",5.56
"93",5.37666666666667
"94",4.54
"95",3.89333333333333
"96",3.68
"97",3.08333333333333
"98",3.07
"99",2.96
"100",2.96666666666667
"101",3.00333333333333
"102",3.06
"103",3.24333333333333
"104",3.98666666666667
"105",4.47666666666667
"106",5.28
"107",5.73666666666667
"108",5.59666666666667
"109",5.36666666666667
"110",5.26
"111",4.93
"112",5.02
"113",5.09666666666667
"114",4.97666666666667
"115",5.06
"116",5.04666666666667
"117",5.04666666666667
"118",5.09
"119",5.05333333333333
"120",4.97666666666667
"121",4.82333333333333
"122",4.25333333333333
"123",4.40666666666667
"124",4.45333333333333
"125",4.65
"126",5.04333333333333
"127",5.52
"128",5.71333333333333
"129",6.01666666666667
"130",6.01666666666667
"131",4.81666666666667
"132",3.66
"133",3.17
"134",1.90666666666667
"135",1.72
"136",1.71333333333333
"137",1.64333333333333
"138",1.33333333333333
"139",1.15666666666667
"140",1.04
"141",0.93
"142",0.916666666666667
"143",0.916666666666667
"144",1.07666666666667
"145",1.48666666666667
"146",2.00666666666667
"147",2.53666666666667
"148",2.86333333333333
"149",3.36
"150",3.82666666666667
"151",4.39333333333333
"152",4.70333333333333
"153",4.90666666666667
"154",4.90333333333333
"155",4.98333333333333
"156",4.73666666666667
"157",4.30333333333333
"158",3.39
"159",2.04333333333333
"160",1.62666666666667
"161",1.49333333333333
"162",0.296666666666667
"163",0.213333333333333
"164",0.173333333333333
"165",0.156666666666667
"166",0.0566666666666667
"167",0.106666666666667
"168",0.146666666666667
"169",0.156666666666667
"170",0.136666666666667
"171",0.126666666666667
"172",0.0466666666666667
"173",0.0233333333333333
"174",0.0133333333333333
"175",0.0666666666666667
"176",0.0866666666666667
"177",0.103333333333333
"178",0.0866666666666667
"179",0.0866666666666667
"180",0.05
"181",0.0333333333333333
"182",0.0633333333333333
"183",0.0466666666666667
"184",0.0333333333333333
"185",0.0266666666666667
"186",0.0233333333333333
"187",0.0266666666666667
"188",0.02
"189",0.04
"190",0.123333333333333
"191",0.286666666666667
"192",0.256666666666667
"193",0.296666666666667
"194",0.43
"195",0.59
"196",0.89
"197",1.03666666666667
"198",1.20666666666667
"199",1.56
"200",1.84
